Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Orlan Suit,121.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
1,Soyuz-TM,121.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
2,Zarya,130.167000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
3,Russian Control,143.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
4,ISS Voice,145.800000,-,1.310000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"Americas, Pacifc, South Asia",,,,
5,ISS Voice,145.800000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"Europe, Russia, Africa",,,,
6,ISS VHF Packet,145.825000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,1200 BPS,,,,
7,ISS Up,145.990000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
8,Soyuz-TM,166.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
9,SpaceX,400.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
10,ISS UHF Packet,437.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,1200 BPS,,,,
11,ISS Down,437.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
12,Soyuz-TM,922.760000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,CW,5.00,,50W,,,,,
